Affordable Housing Office ,16.0,8.0,24.0
Children's Services ,792.0,175.7,967.7
Court Services ,221.0,0.0,221.0
Culture ,90.0,54.0,144.0
Economic Development ,69.0,11.0,80.0
Emergency Medical Services ,1189.8,7.5,1197.3
Homes for the Aged ,2126.9,0.0,2126.9
"Parks, Forestry & Recreation ",1700.0,2184.1,3884.1
"Shelter, Housing & Support ",507.5,181.5,689.0
"Social Development, Finance & Administration ",251.0,43.3,294.3
Social Services ,1881.0,59.0,1940.0
Tourism ,41.0,0.3,41.3
Building ,403.5,5.0,408.5
Business Support ,82.0,0.0,82.0
City Planning ,315.0,12.0,327.0
Clean & Beautiful Secretariat ,2.0,0.0,2.0
Fire Services ,3186.7,0.0,3186.7
Municipal Licensing and Standards ,312.0,8.0,320.0
Solid Waste Management Services ,1386.5,34.6,1421.1
Transportation Services ,1291.0,89.4,1380.4
Waterfront Secretariat ,6.0,0.0,6.0
WES - Technical Services ,363.1,21.4,384.5
Office of the DCM and Chief Financial Officer ,165.0,0.0,165.0
Office of the Treasurer ,711.0,18.0,729.0
Corporate Communications ,83.0,0.0,83.0
Facilities & Real Estate ,695.9,12.4,708.3
Fleet Services ,198.0,0.0,198.0
Information & Technology ,309.0,28.0,337.0
City Manager's Office ,63.0,0.0,63.0
Human Resources ,299.0,6.0,305.0
City Clerk's Office ,351.0,9.5,360.5
Legal Services ,227.0,14.0,241.0
Auditor General's Office ,30.0,0.0,30.0
Mayor's Office ,19.0,0.0,19.0
Council ,182.0,1.0,183.0
3 - 1 - 1 Program ,0.0,0.0,0.0
Toronto Public Health ,1749.8,86.9,1836.7
Toronto Public Library ,1813.2,0.0,1813.2
Association of Community Centres ,87.1,3.0,90.1
Exhibition Place ,127.0,320.0,447.0
Heritage Toronto ,5.0,0.0,5.0
Theatres ,91.2,108.8,200.0
Toronto Zoo ,259.0,95.0,354.0
Arena Boards of Management ,38.0,25.5,63.5
Yonge Dundas Square ,4.0,0.0,4.0
Parking Enforcement Unit ,395.0,0.0,395.0
Toronto Atmospheric Fund ,4.0,0.0,4.0
Toronto & Region Conservation Authority ,290.3,104.4,394.7
Toronto Transit Commission* ,9926.0,23.0,9949.0
Toronto Police Services(excludes Board) ,7557.0,15.0,7572.0
