Affordable Housing Office ,20.0,4.0,24.0
Children's Services ,767.0,189.5,956.5
Court Services ,230.0,0.0,230.0
"Economic Development, Culture & Tourism ",208.0,61.8,269.8
Emergency Medical Services ,1201.5,2.5,1204.0
Homes for the Aged ,2167.4,0.0,2167.4
"Parks, Forestry & Recreation ",1822.0,2326.6,4148.6
"Shelter, Housing & Support ",514.6,180.9,695.5
"Social Development, Finance & Administration ",188.0,26.8,214.8
Social Services ,1884.0,98.0,1982.0
3 - 1 - 1 Program ,0.0,6.0,6.0
City Planning ,333.0,26.5,359.5
Fire Services ,3144.0,0.0,3144.0
Municipal Licensing and Standards ,368.0,1.0,369.0
"Policy, Planning, Finance & Admin. ",438.0,4.2,442.2
Solid Waste Management Services ,1120.0,171.6,1291.6
Technical Services ,191.3,-25.6, 165.7
Toronto Building ,402.5,5.0,407.5
Toronto Water ,1588.0,90.5,1678.5
Transportation Services ,1243.4,58.8,1302.2
Waterfront Secretariat ,8.0,3.0,11.0
Office of the Chief Financial Officer ,122.0,2.0,124.0
Office of the Treasurer ,732.0,39.0,771.0
Public Information & Creative Services ,60.0,1.0,61.0
Facilities & Real Estate ,719.1,21.4,740.5
Fleet Services ,205.0,0.0,205.0
Information & Technology ,354.0,30.0,384.0
City Manager's Office ,393.0,6.0,399.0
City Clerk's Office ,369.0,5.5,374.5
Legal Services ,245.0,15.0,260.0
Mayor's Office ,1.0,22.0,23.0
Council ,49.0,132.0,181.0
Auditor General's Office ,29.0,0.0,29.0
Office of the Lobbyist Registrar ,5.0,0.0,5.0
Office of the Ombudsperson ,3.0,0.0,3.0
Toronto Public Health ,1877.2,60.0,1937.2
Toronto Public Library ,1826.2,0.0,1826.2
Association of Community Centres ,87.2,4.0,91.2
Exhibition Place ,147.5,372.0,519.5
Heritage Toronto ,6.0,0.0,6.0
Theatres ,81.7,95.3,177.0
Toronto Zoo ,261.0,97.3,358.3
Arena Boards of Management ,38.0,25.5,63.5
Yonge Dundas Square ,4.0,0.0,4.0
Parking Authority ,299.0,0.0,299.0
Parking Enforcement Unit ,395.0,0.0,395.0
Toronto Atmospheric Fund ,4.0,0.0,4.0
Toronto Transit Commission* ,10695.0,21.0,10716.0
Toronto Police Services(excludes Board) ,7707.0,3.0,7710.0
