Affordable Housing Office ,15.0,4.0,19.0
Children's Services ,742.0,185.8,927.8
Court Services ,284.0,0.0,284.0
Economic Development & Culture ,215.0,51.8,266.8
Emergency Medical Services ,1206.5,6.5,1213.0
Long Term Care Homes & Services ,2169.9,0.0,2169.9
"Parks, Forestry & Recreation ",1781.0,2421.2,4202.2
"Shelter, Support & Housing Administration ",548.7,186.5,735.2
"Social Development, Finance & Administration ",115.5,4.9,120.4
Toronto Employment & Social Services ,1966.0,221.5,2187.5
311 Toronto ,158.0,0.0,158.0
City Planning ,324.0,16.0,340.0
Fire Services ,3175.5,0.8,3176.3
Municipal Licensing and Standards ,451.6,1.0,452.6
"Policy, Planning, Finance and Administration ",188.3,6.8,195.1
Technical Services ,147.8,0.0,147.8
Toronto Building ,413.0,7.0,420.0
Toronto Environment Office ,16.0,6.6,22.6
Transportation Services ,1017.5,29.7,1047.2
Office of the Chief Financial Officer ,94.0,1.0,95.0
Office of the Treasurer ,681.0,49.0,730.0
Facilities Management and Real Estate ,682.9,40.7,723.6
Fleet Services ,172.0,0.0,172.0
Information & Technology ,504.0,2.0,506.0
City Manager's Office ,379.0,13.0,392.0
City Clerk's Office ,396.3,3.5,399.8
Legal Services ,255.0,18.0,273.0
Mayor's Office ,1.0,17.0,18.0
City Council ,44.0,132.0,176.0
Auditor General's Office ,29.0,0.0,29.0
Lobbyist Registrar ,8.0,0.3,8.3
Integrity Commissioner's Office ,1.0,0.5,1.5
Office of the Ombudsman ,10.0,0.0,10.0
Toronto Public Health ,1795.2,47.0,1842.2
Toronto Public Library ,1717.9,0.0,1717.9
Association of Community Centres ,77.8,1.2,79.0
Exhibition Place ,155.5,374.0,529.5
Heritage Toronto ,6.5,0.0,6.5
Theatres ,77.5,103.6,181.1
Toronto Zoo ,278.0,110.0,388.0
Arena Boards of Management ,41.0,24.5,65.5
Yonge-Dundas Square ,5.0,0.0,5.0
Parking Tag Enforcement & Operations ,394.0,0.0,394.0
Toronto Atmospheric Fund ,7.0,0.0,7.0
Toronto Transit Commission - Conventional ,10614.0,0.0,10614.0
Toronto Transit Commission - Wheel-Trans ,529.0,0.0,529.0
Toronto Police Service ,7862.0,7.0,7869.0
Toronto Police Services Board ,8.0,0.0,8.0
Solid Waste Management Services ,943.5,152.5,1096.0
Toronto Water ,1590.0,69.3,1659.3
Toronto Parking Authority ,244.0,54.7,298.7
