3-1-1 Project Management Office,615.3
Affordable Housing Office,3014
Homes for the Aged,186171.3
Arena Boards of Management,5674.2
Auditor General’s Office,3880.4
Clean and Beautiful City Secretariat,317.2
Business Support Services,10340.7
Building Services,39276
Office of the DCM and Chief Financial Officer,16885.7
Children’s Services,415589
City Manager’s Office,6532.7
City Clerk’s Office,47005.3
Association of Community Centers,6008.6
Corporate Communications,7189.4
Non-Program Expenditures,361780
Capital & Corporate Financing,481477.8
Council,18791.1
Court Services,32415.3
Community Partnership and Investment Program,47796.4
Culture,15917.8
Economic Development,9870.5
Economic Recovery,0
Emergency Medical Services,142384.1
Exhibition Place,47511.9
Facilities & Real Estate,116478.4
Fire Services,317211.5
Fleet Services,34697.5
Heritage Toronto,670.4
Human Resources,29644.8
Information & Technology,51108.5
Legal Services,28584.7
Toronto Public Library,158328.7
Municipal Licensing & Standards,28821.5
Office of the Mayor,1888.2
Toronto Parking Authority,54801.4
"Parks, Forestry & Recreation",283643.4
City Planning,31938.6
Toronto Police Service,796170.4
Toronto Police Services Board,1784.6
Toronto Public Health,210572.2
Toronto & Region Conservation Authority,33979.3
Shelter Support & Housing Administration,698078.3
Social Development Finance & Administration,32832.8
Social Services,1036471.8
Solid Waste Management Services,230076.5
Support Services,0
Technical Services,60585.4
Theatres,29798.1
Tourism,8977.5
Transportation Services,285520.8
Office of the Treasurer,63152.3
Toronto Transit Commission - Conventional,1037991.9
Toronto Transit Commission - Wheel-Trans,63009.1
Toronto Water,610450.7
Waterfront Secretariat,993.5
Yonge/Dundas Square,1072.4
Toronto Zoo,37444.1
