Office of the Lobbyist Registrar,700A,600
Office of the Ombudsman,100A,1553735
Office of the Ombudsman,200A,12718
Office of the Ombudsman,300A,7222
Office of the Ombudsman,400A,226396
Office of the Ombudsman,510A,2082
Office of the Ombudsman,700A,12405
Office of the Treasurer,100A,65375290
Office of the Treasurer,200A,220997
Office of the Treasurer,300A,114399
Office of the Treasurer,400A,8016042
Office of the Treasurer,510A,128997
Office of the Treasurer,650A,1482918
Office of the Treasurer,700A,2371023
"Parks, Forestry & Recreation",100A,292290321
"Parks, Forestry & Recreation",200A,38526293
"Parks, Forestry & Recreation",300A,2802140
"Parks, Forestry & Recreation",400A,68882015
"Parks, Forestry & Recreation",510A,11155236
"Parks, Forestry & Recreation",650A,10038516
"Parks, Forestry & Recreation",700A,21942962
"Policy, Planning, Finance & Administration",100A,18940318
"Policy, Planning, Finance & Administration",200A,969385
"Policy, Planning, Finance & Administration",300A,213893
"Policy, Planning, Finance & Administration",400A,665031
"Policy, Planning, Finance & Administration",510A,125721
"Policy, Planning, Finance & Administration",700A,868577
Property Tax,510A,40686000
"Shelter, Support & Housing Administration",100A,70651484
"Shelter, Support & Housing Administration",200A,4150310
"Shelter, Support & Housing Administration",300A,243264
"Shelter, Support & Housing Administration",400A,74026838
"Shelter, Support & Housing Administration",510A,2367865
"Shelter, Support & Housing Administration",650A,516173558
"Shelter, Support & Housing Administration",700A,1190423
"Social Development, Finance & Administration",100A,15182548
"Social Development, Finance & Administration",200A,91559
"Social Development, Finance & Administration",300A,17609
"Social Development, Finance & Administration",400A,3442099
"Social Development, Finance & Administration",510A,121704
"Social Development, Finance & Administration",650A,32653200
"Social Development, Finance & Administration",700A,308435
Solid Waste Management Services,100A,92632475
Solid Waste Management Services,200A,6055092
Solid Waste Management Services,300A,295680
Solid Waste Management Services,400A,129761524
Solid Waste Management Services,510A,41439090
Solid Waste Management Services,650A,84166926
Solid Waste Management Services,700A,34658659
Theatres,100A,11725491
Theatres,200A,2188982
Theatres,300A,826141
Theatres,400A,4847552
Theatres,505A,1074368
Theatres,510A,1766657
Theatres,650A,735150
Toronto & Region Conservation Authority,100A,33120000
Toronto & Region Conservation Authority,200A,4211000
Toronto & Region Conservation Authority,300A,1252000
Toronto & Region Conservation Authority,400A,1936000
Toronto Atmospheric Fund,200A,20000
Toronto Atmospheric Fund,400A,1102000
Toronto Atmospheric Fund,650A,500000
Toronto Building,100A,46187468
Toronto Building,200A,152876
Toronto Building,300A,563547
Toronto Building,400A,1177880
Toronto Building,510A,4423748
Toronto Building,650A,398488
Toronto Building,700A,921355
Toronto Employment & Social Services,100A,192098141
Toronto Employment & Social Services,200A,14297326
Toronto Employment & Social Services,300A,281318
Toronto Employment & Social Services,400A,90255066
Toronto Employment & Social Services,510A,5635197
Toronto Employment & Social Services,650A,782813295
Toronto Employment & Social Services,700A,18231723
Toronto Paramedic Services,100A,167096637
Toronto Paramedic Services,200A,6255784
Toronto Paramedic Services,300A,1136422
Toronto Paramedic Services,400A,9566943
Toronto Paramedic Services,505A,600000
Toronto Paramedic Services,510A,6921232
Toronto Paramedic Services,650A,8937
Toronto Paramedic Services,700A,9579416
Toronto Parking Authority,100A,24178665
Toronto Parking Authority,200A,9439174
Toronto Parking Authority,300A,7298985
Toronto Parking Authority,400A,24983563
Toronto Parking Authority,650A,18842262
Toronto Police Service,100A,1011506700
Toronto Police Service,200A,18518400
Toronto Police Service,300A,2157800
Toronto Police Service,400A,43303788
Toronto Police Service,510A,38421889
Toronto Police Service,700A,20240400
Toronto Police Services Board,100A,963200
Toronto Police Services Board,200A,7600
Toronto Police Services Board,300A,900
Toronto Police Services Board,400A,821700
Toronto Police Services Board,505A,610600
Toronto Police Services Board,700A,645400
Toronto Public Health,100A,180285090
Toronto Public Health,200A,3767031
Toronto Public Health,300A,998476
Toronto Public Health,400A,30671326
Toronto Public Health,510A,1289419
Toronto Public Health,650A,8537753
Toronto Public Health,700A,15154235
Toronto Public Library,100A,143007823
Toronto Public Library,200A,27498775
Toronto Public Library,300A,566927
Toronto Public Library,400A,19159890
Toronto Public Library,505A,1378000
Toronto Public Library,510A,892981
Toronto Transit Commission - Conventional,100A,1268661900
