_META_START_,
SOURCE_DOCUMENT_LINK_ORIGINAL,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OuSDVsQ3RQb19pbE0
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuTDRIWm1BVU9mT0k
SOURCE_DOCUMENT_TITLE,Operating Variance Report for the Year Ended 12/31/14
SOURCE_DOCUMENT_TABLE_LOCATION,p. 25
SOURCE_DOCUMENT_TABLE_TITLE,"Appendix D: CITY OF TORONTOCONSOLIDATED APPROVED COMPLEMENTFOR THE YEAR ENDED DECEMBER 31, 2014"
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuQVJjZ2x2YjlpdkE
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik
YEAR,2014
VERSION,Summary
ASPECT,Staffing
NOTES_CONTENT,
NOTES_SEVERITY,
UNITS_NAME,Full Time Equivalent
UNITS_CODE,FTE
UNITS_MULTIPLIER,1
TOTAL_AMOUNT,
INTAKE_DATETIME,
INTAKE_OPERATOR_ID,Henrik
COLUMNS_CATEGORIES,Program:NAME
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE"
_META_END_,
Affordable Housing Office ,19
Children's Services ,942.7
Court Services ,282
Economic Development & Culture ,296
Toronto Paramedic Services ,1327.3
Long Term Care Homes & Services ,2179.7
"Parks, Forestry & Recreation ",4331.2
"Shelter, Support & Housing Administration ",717.6
"Social Development, Finance & Administration ",126.5
Toronto Employment & Social Services ,2148.5
City Planning ,352
Fire Services ,3126.8
Municipal Licensing & Standards ,458
"Policy, Planning, Finance and Administration ",202.4
Engineering and Construction Services ,133.8
Toronto Buildings ,425
Transportation Services ,1055.4
Office of the Chief Financial Officer ,100
Office of the Treasurer ,687
"Facilities, Real Estate, Environment & Energy ",920.5
Fleet Services ,174
Information & Technology ,582
311 Toronto ,158
City Manager's Office ,421.5
City Clerk's Office ,429.7
Legal Services ,297
Mayor's Office ,18
City Council ,176
Auditor General's Office ,29.5
Integrity Commissioner's Office ,2
Lobbyist Registrar's Office ,8.3
Ombudsman's Office ,11
Toronto Public Health ,xsxs
Toronto Public Library ,1737.4
Association of Community Centres ,77.4
Exhibition Place ,379
Heritage Toronto ,7
Theatres ,156.5
Toronto Zoo ,410.2
Arena Boards of Management ,67.4
Yonge Dundas Square ,6.5
Toronto & Region Conservation Authority ,0
TTC - Conventional ,11179
TTC - WT ,557
Toronto Police Service ,7870
Toronto Police Services Board ,8
Parking Tag Enforcement & Oper. ,394
Solid Waste Management Services ,1075.7
Toronto Parking Authority ,297.4
Toronto Water ,1710.3
