_COLUMNS_,"Category:NAME,Category:CODE,Note:DESCRIPTION,Count:VALUE",,
Contribution From Reserves/Reserve Funds,930A,,34
Federal Subsidies,810A,,10
Inter-Divisional Recoveries,750A,,28
Licences & Permits Revenue,860A,,8
Other Subsidies,820A,,3
Property Tax,940A,,1
Provincial Subsidies,805A,,21
Special Levy for Scarborough Subway,940A,,1
Sundry and Other Revenues,940A,,40
Transfers From Capital,920A,,26
User Fees & Donations,850A,,38
