Homes for the Aged,AGEDHOMES
Arena Boards of Management,ARENAS
Assessment Growth/Shift,ASSESSGROWTH
Auditor General,AUDITGEN
Customer & Business Support,BIZSUPPORT
Children's Services,CHILDSERV
Chief Administrator's Office (CAO),CITYMANAGER
City Clerk's,CLERK
Association of Community Centers,COMMCENTRES
Corporate Communications,CORPCOMMS
Non-Program Expenditures,CORPEXPENDITURES
Capital & Corporate Financing,CORPFINANCING
Non-Program Revenues,CORPREVENUES
Council,COUNCIL
Court Services,COURTSERV
Culture,CULTURE
Economic Development,ECONDEV
Emergency Medical Services,EMERG
Emergency Management Plan,EMERGPLAN
Exhibition Place,EXHIBPLACE
Facilities & Real Estate,FACILITIES
Finance,FINANCE
Fire Services,FIRE
Fleet Services,FLEET
Consolidated Grant Program,GRANTPROGRAM
Human Resources,HUMANRESOURCES
Service Improvement & Innovation,INNOVATION
Information & Technology,IT
Keele Valley Closure (KVC),KVC
Legal,LEGAL
Toronto Public Library,LIBRARY
Mayor's Office,MAYOR
Parking Authority,PARKING
Parks & Recreation,PARKS
Urban Development Services,PLANNING
Toronto Public Health,PUBLICHEALTH
Toronto & Region Conservation Authority,REGIONCONSERV
"Shelter, Housing & Support",SHELTERADMIN
Social Development & Administration,SOCIALDEV
Social Services,SOCIALSERV
Solid Waste Management Services,SOLIDWASTE
WES - Support Services,SUPPORTSERV
C&I Tax Increase re Registered Charities Rebate,TAXINCR
WES - Technical Services,TECH
Theatres,THEATRES
Toronto Police Service & Board,TOTALPOLICE
Toronto Transit Commission (Incl. Wheel Trans),TOTALTTC
Tourism,TOURISM
Transportation Services,TRANSPORTATION
Water & Waste Water,WATER
World Youth Day,WORLDYOUTH
Yonge/Dundas Square,YONGEDUNDAS
Toronto Zoo,ZOO
