Affordable Housing Office ,19
Children's Services ,942.7
Court Services ,282
Economic Development & Culture ,296
Toronto Paramedic Services ,1327.3
Long Term Care Homes & Services ,2179.7
"Parks, Forestry & Recreation ",4331.2
"Shelter, Support & Housing Administration ",717.6
"Social Development, Finance & Administration ",126.5
Toronto Employment & Social Services ,2148.5
City Planning ,352
Fire Services ,3126.8
Municipal Licensing & Standards ,458
"Policy, Planning, Finance and Administration ",202.4
Engineering and Construction Services ,133.8
Toronto Buildings ,425
Transportation Services ,1055.4
Office of the Chief Financial Officer ,100
Office of the Treasurer ,687
"Facilities, Real Estate, Environment & Energy ",920.5
Fleet Services ,174
Information & Technology ,582
311 Toronto ,158
City Manager's Office ,421.5
City Clerk's Office ,429.7
Legal Services ,297
Mayor's Office ,18
City Council ,176
Auditor General's Office ,29.5
Integrity Commissioner's Office ,2
Lobbyist Registrar's Office ,8.3
Ombudsman's Office ,11
Toronto Public Health ,xsxs
Toronto Public Library ,1737.4
Association of Community Centres ,77.4
Exhibition Place ,379
Heritage Toronto ,7
Theatres ,156.5
Toronto Zoo ,410.2
Arena Boards of Management ,67.4
Yonge Dundas Square ,6.5
Toronto & Region Conservation Authority ,0
TTC - Conventional ,11179
TTC - WT ,557
Toronto Police Service ,7870
Toronto Police Services Board ,8
Parking Tag Enforcement & Oper. ,394
Solid Waste Management Services ,1075.7
Toronto Parking Authority ,297.4
Toronto Water ,1710.3
