Affordable Housing Office ,22
Children's Services ,948.5
Court Services ,290
Economic Development & Culture ,275.8
Emergency Medical Services ,1218
Long Term Care Homes & Services ,2188.3
"Parks, Forestry & Recreation ",4280.6
"Shelter, Housing & Support Administration ",748.7
"Social Development, Finance & Administration ",172.9
Toronto Employment & Social Services ,2286
311 Toronto ,159
City Planning ,335
Fire Services ,3185.3
Municipal Licensing and Standards ,487.6
"Policy, Planning, Finance & Administration ",234.1
Technical Services ,164.7
Toronto Building ,427
Toronto Environment Office ,26.6
Transportation Services ,1266
Waterfront Secretariat ,7
Office of the Chief Financial Officer ,107
Office of the Treasurer ,753
Facilities Management & Real Estate ,819.5
Fleet Services ,192
Information & Technology ,525
City Manager's Office ,381
City Clerk's Office ,427.5
Legal Services ,280
Mayor's Office ,17
City Council ,176
Auditor General's Office ,29
Office of the Lobbyist Registrar ,8.3
Office of the Integrity Commissioner ,1.5
Office of the Ombudsperson ,10
Toronto Public Health ,1886.6
Toronto Public Library ,1824.9
Association of Community Centres ,91.2
Exhibition Place ,529.5
Heritage Toronto ,6
Theatres ,211
Toronto Zoo ,388
Arena Boards of Management ,65.5
Yonge-Dundas Square ,5
Parking Tag Enforcement & Operations ,395
Toronto Atmospheric Fund ,7
Toronto Transit Commission ,10706
Wheel Trans ,532
Toronto Police Service (excludes Board) ,7888
Solid Waste Management Services ,1327.7
Toronto Water ,1702.3
Toronto Parking Authority ,298.7
