_COLUMNS_,"Category:NAME,Category:CODE,Note:DESCRIPTION,Count:VALUE",,
311 Toronto,311SERVICE,,18
Affordable Housing Office,AFFHOUSING,,25
Arena Boards of Management,ARENAS,,8
Association of Community Centres,COMMCENTRES,,8
Auditor General's Office,AUDITGEN,,6
Capital & Corporate Financing,CORPFINANCING,,8
Children's Services,CHILDSERV,,23
City Clerk's Office,CLERK,,50
City Council,COUNCIL,,7
City Manager's Office,CITYMANAGER,,110
City Planning,PLANNING,,20
Court Services,COURTSERV,,40
Economic Development & Culture,ECONDEV,,105
Engineering & Construction Services,ENGINEERING,,58
Exhibition Place,EXHIBPLACE,,25
"Facilities, Real Estate, Environment & Energy",FACILITIES,,102
Fire Services,FIRE,,55
Fleet Services,FLEET,,44
Heritage Toronto,HERITAGE,,12
Information & Technology,IT,,87
Integrity Commissioner's Office,INTEGRITYCOMM,,6
Legal Services,LEGAL,,25
Lobbyist Registrar,LOBBYREG,,
Long Term Care Homes & Services,LONGTERMHOME,,31
Mayor's Office,MAYOR,,4
Municipal Licensing & Standards,LICENCING,,139
Municipal Licensing and Standards,LICENCING,,
Non-Program Expenditures,CORPEXPENDITURES,,9
Non-Program Revenues,CORPREVENUES,,9
Office of the Chief Financial Officer,CFO,,99
Office of the Lobbyist Registrar,LOBBYREG,,6
Office of the Ombudsman,OMBUDSMAN,,6
Office of the Treasurer,TREASURER,,275
Parking Tag Enforcement & Operations,PARKINGTAGS,,
"Parks, Forestry & Recreation",PARKS,,166
"Policy, Planning, Finance & Administration",POLICYADMIN,,58
"Policy, Planning, Finance and Administration",POLICYADMIN,,
Property Tax,PROPERTYTAX,,3
"Shelter, Support & Housing Administration",SHELTERADMIN,,71
"Social Development, Finance & Administratio",SOCIALDEV,,
"Social Development, Finance & Administration",SOCIALDEV,,98
Solid Waste Management Services,SOLIDWASTE,,191
Theatres,THEATRES,,10
Toronto & Region Conservation Authority,REGIONCONSERV,,8
Toronto Atmospheric Fund,ATMOSPHERE,,5
Toronto Building,BUILDINGS,,78
Toronto Employment & Social Services,SOCIALSERV,,48
Toronto Paramedic Services,PARAMEDIC,,74
Toronto Parking Authority,PARKING,,16
Toronto Police Service,POLICE,,10
Toronto Police Services Board,POLICEBOARD,,7
Toronto Public Health,PUBLICHEALTH,,67
Toronto Public Library,LIBRARY,,33
Toronto Transit Commission - Conventional,TTCCONV,,8
Toronto Transit Commission - Wheel Trans,TTCWHEEL,,5
Toronto Transit Commission - Wheel-Trans,TTCWHEEL,,
Toronto Water,WATER,,62
Toronto Zoo,ZOO,,24
Transportation Services,TRANSPORTATION,,150
Yonge-Dundas Square,YONGEDUNDAS,,8
