_COLUMNS_,"Category:NAME,Category:CODE,Note:DESCRIPTION,Count:VALUE",,
311 Toronto,311SERVICE,,13
Affordable Housing Office,AFFHOUSING,,18
Arena Boards of Management,ARENAS,,6
Association of Community Centres,COMMCENTRES,,6
Auditor General's Office,AUDITGEN,,6
Capital & Corporate Financing,CORPFINANCING,,4
Children's Services,CHILDSERV,,13
City Clerk's Office,CLERK,,20
City Council,COUNCIL,,6
City Manager's Office,CITYMANAGER,,48
City Planning,PLANNING,,14
Court Services,COURTSERV,,21
Economic Development & Culture,ECONDEV,,20
Engineering & Construction Services,ENGINEERING,,18
Exhibition Place,EXHIBPLACE,,18
"Facilities, Real Estate, Environment & Energy",FACILITIES,,20
Fire Services,FIRE,,23
Fleet Services,FLEET,,12
Heritage Toronto,HERITAGE,,7
Information & Technology,IT,,19
Integrity Commissioner's Office,INTEGRITYCOMM,,6
Legal Services,LEGAL,,17
Lobbyist Registrar,LOBBYREG,,
Long Term Care Homes & Services,LONGTERMHOME,,13
Mayor's Office,MAYOR,,4
Municipal Licensing & Standards,LICENCING,,26
Municipal Licensing and Standards,LICENCING,,
Non-Program Expenditures,CORPEXPENDITURES,,7
Non-Program Revenues,CORPREVENUES,,5
Office of the Chief Financial Officer,CFO,,37
Office of the Lobbyist Registrar,LOBBYREG,,6
Office of the Ombudsman,OMBUDSMAN,,6
Office of the Treasurer,TREASURER,,77
Parking Tag Enforcement & Operations,PARKINGTAGS,,
"Parks, Forestry & Recreation",PARKS,,21
"Policy, Planning, Finance & Administration",POLICYADMIN,,25
"Policy, Planning, Finance and Administration",POLICYADMIN,,
Property Tax,PROPERTYTAX,,
"Shelter, Support & Housing Administration",SHELTERADMIN,,14
"Social Development, Finance & Administratio",SOCIALDEV,,
"Social Development, Finance & Administration",SOCIALDEV,,26
Solid Waste Management Services,SOLIDWASTE,,35
Theatres,THEATRES,,7
Toronto & Region Conservation Authority,REGIONCONSERV,,4
Toronto Atmospheric Fund,ATMOSPHERE,,4
Toronto Building,BUILDINGS,,14
Toronto Employment & Social Services,SOCIALSERV,,20
Toronto Paramedic Services,PARAMEDIC,,22
Toronto Parking Authority,PARKING,,11
Toronto Police Service,POLICE,,6
Toronto Police Services Board,POLICEBOARD,,6
Toronto Public Health,PUBLICHEALTH,,40
Toronto Public Library,LIBRARY,,18
Toronto Transit Commission - Conventional,TTCCONV,,6
Toronto Transit Commission - Wheel Trans,TTCWHEEL,,4
Toronto Transit Commission - Wheel-Trans,TTCWHEEL,,
Toronto Water,WATER,,21
Toronto Zoo,ZOO,,15
Transportation Services,TRANSPORTATION,,21
Yonge-Dundas Square,YONGEDUNDAS,,5
