_COLUMNS_,"Category:NAME,Category:CODE,Note:DESCRIPTION,Count:VALUE",,
311 Toronto,311SERVICE,,8
Affordable Housing Office,AFFHOUSING,,8
Arena Boards of Management,ARENAS,,8
Association of Community Centres,COMMCENTRES,,8
Auditor General's Office,AUDITGEN,,8
CAPITAL & CORPORATE FINANCE / NON-PROGRAM,CORPFINANCING,,8
Children's Services,CHILDSERV,,8
City Clerk's Office,CLERK,,8
City Council,COUNCIL,,8
City Manager's Office,CITYMANAGER,,8
City Planning,PLANNING,,8
Community Partnership and Investment Program,COMMPARTNER,,8
Court Services,COURTSERV,,8
Economic Development and Culture,ECONDEV,,8
Emergency Medical Services,PARAMEDIC,,8
Exhibition Place,EXHIBPLACE,,8
Facilities Management and Real Estate,FACILITIES,,8
Fire Services,FIRE,,8
Fleet Services,FLEET,,8
Heritage Toronto,HERITAGE,,8
Information and Technology,IT,,8
Legal Services,LEGAL,,8
Long Term Care Homes & Services,LONGTERMHOME,,8
Municipal Licensing and Standards,LICENCING,,8
Office of the Chief Financial Officer,CFO,,8
Office of the Treasurer,TREASURER,,8
"Parks, Forestry and Recreation",PARKS,,8
"Policy, Planning, Finance and Administration",POLICYADMIN,,8
"Shelter, Support and Housing Administration",SHELTERADMIN,,8
"Social Development, Finance and Administration",SOCIALDEV,,8
Solid Waste Management Services,SOLIDWASTE,,8
Technical Services,ENGINEERING,,8
The Integrity Commissioner's Office,INTEGRITYCOMM,,8
The Lobbyist Registrar's Office,LOBBYREG,,8
The Mayor's Office,MAYOR,,8
The Ombudsman's Office,OMBUDSMAN,,8
Theatres - Sony Centre for the Performing Arts,SONYCENTRE,,8
Theatres - St. Lawrence Centre for the Arts,STLAWRENCECENTRE,,8
Theatres - Toronto Centre for the Arts,TORONTOCENTRE,,8
Toronto Atmospheric Fund,ATMOSPHERE,,8
Toronto Buildings,BUILDINGS,,8
Toronto Employment and Social Services,SOCIALSERV,,8
Toronto Environment Office,ENVIRONMENTOFFICE,,8
Toronto Parking Authority,PARKING,,8
Toronto Police Service,POLICE,,8
Toronto Police Service Board,POLICEBOARD,,8
Toronto Public Health,PUBLICHEALTH,,8
Toronto Public Library,LIBRARY,,8
Toronto Transit Commission - Conventional,TTCCONV,,8
Toronto Transit Commission - Wheel Trans,TTCWHEEL,,8
Toronto Water,WATER,,8
Toronto Zoo,ZOO,,6
Toronto and Region Conservation Authority,REGIONCONSERV,,8
Transportation Services,TRANSPORTATION,,8
Waterfront Secretariat,WATERFRONT,,8
Yonge-Dundas Square,YONGEDUNDAS,,8
