Bank indebtedness (Note 6),76508
Accounts payable and accrued liabilities (Note 7),2787113
Deferred revenue (Note 8),2007416
Other liabilities (Note 9),649564
Landfill closure and post-closure liabilities (Note 10),139316
Mortgages payable (Note 11),579405
Net long-term debt (Note 12),4178512
Employee benefit liabilities (Note 13),3410247
