_COLUMNS_,"Category:CODE,Category:NAME,Start:VALUE,End:Value,AllocateTo:CODE,AllocateTo:NAME,Note:DESCRIPTION",,,,,
PERM,Permanent,2011,,,,
TEMP,Temporary,2011,,,,
