_COLUMNS_,"Category:CODE,Category:NAME,ReferenceCategory:CODE,ReferenceCategory:NAME,AlternateNames:LIST"
311SERVICE,311 Toronto
AFFHOUSING,Affordable Housing Office
ARENAS,Arena Boards of Management
ATMOSPHERE,Toronto Atmospheric Fund
AUDITGEN,Accountability Offices - Auditor General
BUILDINGS,Toronto Building Services
CFO,Office of the Chief Financial Officer
CHILDSERV,Children's Services
CITYMANAGER,City Manager's Office
CLERK,City Clerk's Office
COMMCENTRES,Association of Community Centres
CORPFINANCING,Capital & Corporate Finance / Non-Program
COUNCIL,City Council
COURTSERV,Court Services
ECONDEV,Economic Development & Culture
ENGINEERING,Technical Services
ENVIRONMENTOFFICE,Toronto Environment Office
EXHIBPLACE,Exhibition Place
FACILITIES,Facilities Management and Real Estate
FIRE,Fire Services
FLEET,Fleet Services
HERITAGE,Heritage Toronto
INTEGRITYCOMM,Accountability Offices - Integrity Commissioner
IT,Information and Technology
LEGAL,Legal Services
LIBRARY,Toronto Library Board
LICENCING,Municipal Licensing and Standards
LOBBYREG,Accountability Offices - Lobbyist Registrar
LONGTERMHOME,Long Term Care Homes and Services
MAYOR,Office of the Mayor
PARAMEDIC,Emergency Medical Services
PARKING,Toronto Parking Authority
PARKINGTAGS,Parking Tags Enforcement & Operations
PARKS,"Parks, Forestry and Recreation"
PLANNING,City Planning
POLICE,Toronto Police Service
POLICEBOARD,Toronto Police Services Board
POLICYADMIN,"Policy, Planning, Finance and Administration"
PUBLICHEALTH,Toronto Public Health
REGIONCONSERV,Toronto & Region Conservation Authority (TRCA)
SHELTERADMIN,"Shelter, Support & Housing Administration"
SOCIALDEV,"Social Development, Finance & Administration"
SOCIALSERV,Toronto Employment & Social Services
SOLIDWASTE,Solid Waste Management Services
SONYCENTRE,Sony Centre for the Performing Arts
STLAWRENCECENTRE,St. Lawrence Cenmtre for the Arts
TORONTOCENTRE,Toronto Centre for the Arts
TRANSPORTATION,Transportation Services
TREASURER,Office of the Treasurer
TTCCONV,Toronto Transit Commission - Conventional
TTCWHEEL,Toronto Transit Commission - Wheel Trans
WATER,Toronto Water
YONGEDUNDAS,Yonge Dundas Square
ZOO,Toronto Zoo
