_COLUMNS_,"Category:CODE,Category:NAME,AlternateNames:LIST,Notes:LIST",,
CULTURE,Recreation and cultural services,,
ENVIRONMENT,Environmental services,,
GOVERNMENT,General government,,
HEALTH,Health services,,
PLANNING,Planning and development,,
PROTECTION,Protection to persons and property,,
SOCIALSERVICES,Social and family services,,
TRANSPORTSERVICES,Transportation services,,
