_META_START_,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,,,
SOCIALDEV,"Social Development, Finance & Administratio",TEMP,Temporary,4.8
SOLIDWASTE,Solid Waste Management Services,PERM,Permanent,958.5
SOLIDWASTE,Solid Waste Management Services,TEMP,Temporary,117.2
THEATRES,Theatres,PERM,Permanent,76.9
THEATRES,Theatres,TEMP,Temporary,79.6
ATMOSPHERE,Toronto Atmospheric Fund,PERM,Permanent,8
ATMOSPHERE,Toronto Atmospheric Fund,TEMP,Temporary,0
BUILDINGS,Toronto Building,PERM,Permanent,418
BUILDINGS,Toronto Building,TEMP,Temporary,7
SOCIALSERV,Toronto Employment & Social Services,PERM,Permanent,2042
SOCIALSERV,Toronto Employment & Social Services,TEMP,Temporary,106.5
PARKING,Toronto Parking Authority,PERM,Permanent,242
PARKING,Toronto Parking Authority,TEMP,Temporary,55.4
POLICE,Toronto Police Service,PERM,Permanent,7659
POLICE,Toronto Police Service,TEMP,Temporary,211
POLICEBOARD,Toronto Police Services Board,PERM,Permanent,8
POLICEBOARD,Toronto Police Services Board,TEMP,Temporary,0
PUBLICHEALTH,Toronto Public Health,PERM,Permanent,1796
PUBLICHEALTH,Toronto Public Health,TEMP,Temporary,42.7
LIBRARY,Toronto Public Library,PERM,Permanent,1737.4
LIBRARY,Toronto Public Library,TEMP,Temporary,0
TTCCONV,Toronto Transit Commission - Conventional,PERM,Permanent,11176
TTCCONV,Toronto Transit Commission - Conventional,TEMP,Temporary,3
TTCWHEEL,Toronto Transit Commission - Wheel-Trans,PERM,Permanent,557
TTCWHEEL,Toronto Transit Commission - Wheel-Trans,TEMP,Temporary,0
WATER,Toronto Water,PERM,Permanent,1631
WATER,Toronto Water,TEMP,Temporary,71.3
ZOO,Toronto Zoo,PERM,Permanent,278
ZOO,Toronto Zoo,TEMP,Temporary,132.2
TRANSPORTATION,Transportation Services,PERM,Permanent,1013
TRANSPORTATION,Transportation Services,TEMP,Temporary,42.4
YONGEDUNDAS,Yonge-Dundas Square,PERM,Permanent,6
YONGEDUNDAS,Yonge-Dundas Square,TEMP,Temporary,0.5
