_META_START_,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,,,
SOLIDWASTE,Solid Waste Management Services,TEMP,Temporary,117.7
THEATRES,Theatres,PERM,Permanent,85.9
THEATRES,Theatres,TEMP,Temporary,77.2
ATMOSPHERE,Toronto Atmospheric Fund,PERM,Permanent,8
ATMOSPHERE,Toronto Atmospheric Fund,TEMP,Temporary,0
BUILDINGS,Toronto Building,PERM,Permanent,435
BUILDINGS,Toronto Building,TEMP,Temporary,7
SOCIALSERV,Toronto Employment & Social Services,PERM,Permanent,2009
SOCIALSERV,Toronto Employment & Social Services,TEMP,Temporary,83
PARAMEDIC,Toronto Paramedic Services,PERM,Permanent,1376.5
PARAMEDIC,Toronto Paramedic Services,TEMP,Temporary,14.8
PARKING,Toronto Parking Authority,PERM,Permanent,246.1
PARKING,Toronto Parking Authority,TEMP,Temporary,53.3
POLICE,Toronto Police Service,PERM,Permanent,7672
POLICE,Toronto Police Service,TEMP,Temporary,211
POLICEBOARD,Toronto Police Services Board,PERM,Permanent,7
POLICEBOARD,Toronto Police Services Board,TEMP,Temporary,0
PUBLICHEALTH,Toronto Public Health,PERM,Permanent,1797
PUBLICHEALTH,Toronto Public Health,TEMP,Temporary,44.6
LIBRARY,Toronto Public Library,PERM,Permanent,1739.9
LIBRARY,Toronto Public Library,TEMP,Temporary,0
TTCCONV,Toronto Transit Commission - Conventional,PERM,Permanent,11682
TTCCONV,Toronto Transit Commission - Conventional,TEMP,Temporary,9
TTCWHEEL,Toronto Transit Commission - Wheel-Trans,PERM,Permanent,562
TTCWHEEL,Toronto Transit Commission - Wheel-Trans,TEMP,Temporary,0
WATER,Toronto Water,PERM,Permanent,1640
WATER,Toronto Water,TEMP,Temporary,70.3
ZOO,Toronto Zoo,PERM,Permanent,278
ZOO,Toronto Zoo,TEMP,Temporary,124.5
TRANSPORTATION,Transportation Services,PERM,Permanent,996.1
TRANSPORTATION,Transportation Services,TEMP,Temporary,32.7
YONGEDUNDAS,Yonge-Dundas Square,PERM,Permanent,6
YONGEDUNDAS,Yonge-Dundas Square,TEMP,Temporary,0.5
