_COLUMNS_,"Category:CODE,Category:NAME,AlternateNames:LIST,Notes:LIST",,
311SERVICE,3-1-1 Project Management Office,3-1-1 Project Management Office;#3 - 1 - 1 Program;#3-1-1 Customer Service Strategy,
AFFHOUSING,Affordable Housing Office,,
AGEDHOMES,Homes for the Aged,,
ARENAS,Arena Boards of Management,,
ASSESSMENT,Assessment Growth 2006,,
ATMOSPHERE,Toronto Atmospheric Fund,,
AUDITGEN,Auditor General’s Office,Auditor General’s Office;#Auditor General's Office,
BEAUTY,Clean and Beautiful City Secretariat,Clean and Beautiful City Secretariat;#Clean & Beautiful Secretariat,
BIZSUPPORT,Business Support Services,Business Support Services;#Business Support,
BUILDINGS,Building Services,Building Services;#Building;#Toronto Building,
CFO,Office of the DCM and Chief Financial Officer,Office of the DCM and Chief Financial Officer;#Office of the Chief Financial Officer,
CHILDSERV,Children’s Services,Children’s Services;#Children's Services,
CITYMANAGER,City Manager’s Office,City Manager’s Office;#City Manager's Office,
CLERK,City Clerk’s Office,City Clerk’s Office;#City Clerk's Office,
COMMCENTRES,Association of Community Centers,Association of Community Centers;#Association of Community Centres,
COMMPARTNER,Community Partnership and Investment Program,,
COMMPARTNERREV,Community Partnership and Investment Program revenue,,
CORPCOMMS,Corporate Communications,,
CORPEXPENDITURES,Non-Program Expenditures,,
CORPFINANCING,Capital & Corporate Financing,,
CORPREVENUES,Non-Program Revenues,,
COUNCIL,Council,Council;#City Council,
COURTSERV,Court Services,,
CULTURE,Culture,,
ECONDEV,Economic Development,"Economic Development;#Economic Development, Culture & Tourism",
EMERG,Emergency Medical Services,,
EXHIBPLACE,Exhibition Place,,
FACILITIES,Facilities & Real Estate,,
FIRE,Fire Services,,
FLEET,Fleet Services,,
HERITAGE,Heritage Toronto,,
HUMANRESOURCES,Human Resources,,
IT,Information & Technology,,
LEGAL,Legal Services,,
LIBRARY,Toronto Public Library,,
LICENCING,Municipal Licensing & Standards,Municipal Licensing & Standards;#Municipal Licensing and Standards,
LOBBYIST,Lobbyist Registrar,,
LOBBYREG,Office of the Lobbyist Registrar,,
MAYOR,Office of the Mayor,Office of the Mayor;#Mayor's Office;#Mayor’s Office,
PARKING,Toronto Parking Authority,Toronto Parking Authority;#Parking Authority,
PARKINGTAGS,Parking Enforcement Unit,,
PARKS,"Parks, Forestry & Recreation",,
PLANNING,City Planning,,
POLICE,Toronto Police Service,Toronto Police Service;#Toronto Police Services(excludes Board),
POLICEBOARD,Toronto Police Services Board,,
POLICYADMIN,"Policy, Planning, Finance and Administration","Policy, Planning, Finance and Administration;#Policy, Planning, Finance & Admin.",
PUBLICHEALTH,Toronto Public Health,Toronto Public Health;#Toronto Police Services(excludes Board),
PUBLICINFORMATION,Pubic Information & Creative Services,Pubic Information & Creative Services;#Public Information & Creative Services,
REGIONCONSERV,Toronto & Region Conservation Authority,,
SHELTERADMIN,Shelter Support & Housing Administration,"Shelter Support & Housing Administration;#Shelter, Housing & Support;#Shelter, Support & Housing Administration",
SOCIALDEV,Social Development Finance & Administration,"Social Development Finance & Administration;#Social Development, Finance & Administration",
SOCIALSERV,Social Services,,
SOLIDWASTE,Solid Waste Management Services,,
SUPPORTSERV,Support Services,Support Services;#WES - Support Services;#WES - Technical Services,
TECH,Technical Services,Technical Services;#WES - Technical Services,
THEATRES,Theatres,,
TOURISM,Tourism,,
TRANSPORTATION,Transportation Services,,
TREASURER,Office of the Treasurer,,
TTCCONV,Toronto Transit Commission - Conventional,Toronto Transit Commission - Conventional;#Toronto Transit Commission*;#Toronto Transit Commission – Conventional,
TTCWHEEL,Toronto Transit Commission - Wheel-Trans,Toronto Transit Commission - Wheel-Trans;#Toronto Transit Commission – Wheel-Trans,
WATER,Toronto Water,,
WATERFRONT,Waterfront Secretariat,,
YONGEDUNDAS,Yonge/Dundas Square,Yonge/Dundas Square;#Yonge Dundas Square;#Yonge-Dundas Square,
ZOO,Toronto Zoo,,
