baseitem,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
SALARIES,2713421,2868404,3119386,3319439,3542407,3671156,3877770,4165607,4442881,4485325,4826928,5053751,5069438,4972018,5349900,5565309,,
MATERIALS,1791138,1918956,1646260,1970613,2018063,1944301,2123736,1573029,1181882,939768,1072005,1034737,803795,918231,918934,938054,,
CONTRACTED,1086614,759208,890699,942775,842376,1042994,1050517,1248068,1355457,1356914,1386031,1494990,1411269,1627179,1793882,1674201,,
INTEREST,114692,123967,110626,108916,111873,130098,202870,213723,232116,229503,273275,267240,287990,298800,313318,314827,,
OTHER,859820,877808,1129427,889102,906088,893524,950254,1037339,134413,195470,328614,307638,309493,178976,213564,213872,,
TRANSFERS,,297507,184796,153589,330729,429032,370784,1130853,1295514,1638412,1636974,1677193,1592920,1368597,1000937,1268651,,
AMORTIZATION,,,,,,,,,797281,1071896,1018351,814522,801845,847090,871099,851194,,
