_META_START_,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OudFF0bGVRMVZ4dTA,,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuTF9vOFRVVHl3Z2M,,,
SOURCE_DOCUMENT_TITLE,Budget - Operating Budget Program Summary by Expenditure Category,,,
SOURCE_DOCUMENT_TABLE_LOCATION,Data Download,,,
SOURCE_DOCUMENT_TABLE_TITLE,Approved Operating Budget Summary 2017,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuX3ZrN3F5SDJJREk,,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,,
YEAR,2017,,,
VERSION,PBFT,,,
ASPECT,Expenses,,,
NOTES_CONTENT,,,,
NOTES_SEVERITY,,,,
UNITS_NAME,Dollar,,,
UNITS_CODE,DOLLAR,,,
UNITS_MULTIPLIER,1,,,
TOTAL_AMOUNT,,,,
INTAKE_DATETIME,,,,
INTAKE_OPERATOR_ID,Henrik,,,
COLUMNS_CATEGORIES,"Program:NAME, Service:NAME, Activity:NAME, Expense:NAME",,,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",,,
_META_END_,,,,
Fleet Services,FL-Fleet Management,Fleet Maintenance,Inter-Divisional Charges,373652
Fleet Services,FL-Fleet Management,Fleet Maintenance,Service And Rent,5727911
Fleet Services,FL-Fleet Management,Fleet Maintenance,Materials & Supplies,11345043
Fleet Services,FL-Fleet Management,Fleet Maintenance,Salaries And Benefits,16272815
Fleet Services,FL-Fleet Management,Vehicle Safety,Equipment,600
Fleet Services,FL-Fleet Management,Vehicle Safety,Inter-Divisional Charges,2600
Fleet Services,FL-Fleet Management,Vehicle Safety,Materials & Supplies,13942
Fleet Services,FL-Fleet Management,Vehicle Safety,Service And Rent,15183
Fleet Services,FL-Fleet Management,Vehicle Safety,Salaries And Benefits,1187179
Fleet Services,FL-Fuel Management,Fuel Acquisition,Inter-Divisional Charges,70409
Fleet Services,FL-Fuel Management,Fuel Acquisition,Service And Rent,109037
Fleet Services,FL-Fuel Management,Fuel Acquisition,Materials & Supplies,13818599
Fleet Services,FL-Fuel Management,Fuel Distribution,Equipment,374
Fleet Services,FL-Fuel Management,Fuel Distribution,Materials & Supplies,2092
Fleet Services,FL-Fuel Management,Fuel Distribution,Inter-Divisional Charges,173656
Fleet Services,FL-Fuel Management,Fuel Distribution,Service And Rent,293568
Fleet Services,FL-Fuel Management,Fuel Distribution,Salaries And Benefits,404288
Fleet Services,FL-Fuel Management,Fuel Distribution,Contribution To Reserves/Reserve Funds,1228552
Heritage Toronto,Heritage Fundraising & Partnership Development,Heritage Fundraising & Partnership Development,Contribution To Reserves/Reserve Funds,633
Heritage Toronto,Heritage Fundraising & Partnership Development,Heritage Fundraising & Partnership Development,Materials & Supplies,34224
Heritage Toronto,Heritage Fundraising & Partnership Development,Heritage Fundraising & Partnership Development,Salaries And Benefits,233265
Heritage Toronto,Heritage Promotion & Education,Heritage Promotion & Education,Contribution To Reserves/Reserve Funds,633
Heritage Toronto,Heritage Promotion & Education,Heritage Promotion & Education,Materials & Supplies,23136
Heritage Toronto,Heritage Promotion & Education,Heritage Promotion & Education,Service And Rent,211371
Heritage Toronto,Heritage Promotion & Education,Heritage Promotion & Education,Salaries And Benefits,291553
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,Materials & Supplies,1668
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,Equipment,10993
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,Service And Rent,46015
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,Inter-Divisional Charges,48846
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,Salaries And Benefits,3144340
Information & Technology,IT-Business IT Solutions,IT Common Components,Service And Rent,123
Information & Technology,IT-Business IT Solutions,IT Common Components,Inter-Divisional Charges,49396
Information & Technology,IT-Business IT Solutions,IT Common Components,Salaries And Benefits,2795238
Information & Technology,IT-Business IT Solutions,Solution Implementation,Other Expenditures,119
Information & Technology,IT-Business IT Solutions,Solution Implementation,Materials & Supplies,4018
Information & Technology,IT-Business IT Solutions,Solution Implementation,Equipment,23990
Information & Technology,IT-Business IT Solutions,Solution Implementation,Inter-Divisional Charges,48846
Information & Technology,IT-Business IT Solutions,Solution Implementation,Service And Rent,132754
Information & Technology,IT-Business IT Solutions,Solution Implementation,Salaries And Benefits,34403267
Information & Technology,IT-Business IT Solutions,Solution Sustainment,Other Expenditures,198
Information & Technology,IT-Business IT Solutions,Solution Sustainment,Materials & Supplies,3336
Information & Technology,IT-Business IT Solutions,Solution Sustainment,Equipment,22137
Information & Technology,IT-Business IT Solutions,Solution Sustainment,Inter-Divisional Charges,48846
Information & Technology,IT-Business IT Solutions,Solution Sustainment,Service And Rent,7746661
Information & Technology,IT-Business IT Solutions,Solution Sustainment,Salaries And Benefits,8960121
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,Other Expenditures,79
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,Contribution To Reserves/Reserve Funds,174
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,Materials & Supplies,7376
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,Inter-Divisional Charges,57939
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,Equipment,316200
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,Service And Rent,11332600
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,Salaries And Benefits,18727553
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,Contribution To Reserves/Reserve Funds,9310
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,Materials & Supplies,15117
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,Inter-Divisional Charges,53839
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,Equipment,92041
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,Salaries And Benefits,6109309
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,Service And Rent,6999158
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",Materials & Supplies,10430
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",Contribution To Reserves/Reserve Funds,47345
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",Inter-Divisional Charges,70328
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",Equipment,76856
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",Service And Rent,289889
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",Salaries And Benefits,14055628
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,Materials & Supplies,3145
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,Inter-Divisional Charges,59376
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,Contribution To Reserves/Reserve Funds,69736
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,Service And Rent,247522
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,Equipment,284559
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,Salaries And Benefits,8324757
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,Materials & Supplies,5734
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,Equipment,40089
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,Inter-Divisional Charges,48846
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,Service And Rent,155492
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,Salaries And Benefits,2813602
Integrity Commissioner's Office,Integrity Commissioner's Office,Integrity Commissioner's Office,Equipment,54
Integrity Commissioner's Office,Integrity Commissioner's Office,Integrity Commissioner's Office,Inter-Divisional Charges,400
Integrity Commissioner's Office,Integrity Commissioner's Office,Integrity Commissioner's Office,Materials & Supplies,1594
Integrity Commissioner's Office,Integrity Commissioner's Office,Integrity Commissioner's Office,Contribution To Reserves/Reserve Funds,4365
Integrity Commissioner's Office,Integrity Commissioner's Office,Integrity Commissioner's Office,Service And Rent,17937
Integrity Commissioner's Office,Integrity Commissioner's Office,Integrity Commissioner's Office,Salaries And Benefits,482229
Legal Services,Civil Litigation,Civil Litigation,Contribution To Reserves/Reserve Funds,22936
Legal Services,Civil Litigation,Civil Litigation,Inter-Divisional Charges,26500
Legal Services,Civil Litigation,Civil Litigation,Equipment,28440
Legal Services,Civil Litigation,Civil Litigation,Materials & Supplies,99034
Legal Services,Civil Litigation,Civil Litigation,Service And Rent,569779
Legal Services,Civil Litigation,Civil Litigation,Salaries And Benefits,14236280
Legal Services,Prosecution,Prosecution,Equipment,14672
Legal Services,Prosecution,Prosecution,Contribution To Reserves/Reserve Funds,22936
Legal Services,Prosecution,Prosecution,Materials & Supplies,173997
Legal Services,Prosecution,Prosecution,Service And Rent,837443
Legal Services,Prosecution,Prosecution,Inter-Divisional Charges,6741300
Legal Services,Prosecution,Prosecution,Salaries And Benefits,11929505
Legal Services,Solicitor,Solicitor,Contribution To Reserves/Reserve Funds,23631
Legal Services,Solicitor,Solicitor,Equipment,38762
Legal Services,Solicitor,Solicitor,Materials & Supplies,230612
Legal Services,Solicitor,Solicitor,Inter-Divisional Charges,326500
Legal Services,Solicitor,Solicitor,Service And Rent,604329
Legal Services,Solicitor,Solicitor,Salaries And Benefits,21856372
Long-Term Care Homes & Services,Long-Term Care Homes,Long-Term Care Homes,Other Expenditures,-63600
Long-Term Care Homes & Services,Long-Term Care Homes,Long-Term Care Homes,Inter-Divisional Charges,614373
Long-Term Care Homes & Services,Long-Term Care Homes,Long-Term Care Homes,Contribution To Reserves/Reserve Funds,1901532
Long-Term Care Homes & Services,Long-Term Care Homes,Long-Term Care Homes,Equipment,2898900
Long-Term Care Homes & Services,Long-Term Care Homes,Long-Term Care Homes,Service And Rent,13087401
Long-Term Care Homes & Services,Long-Term Care Homes,Long-Term Care Homes,Materials & Supplies,21063800
Long-Term Care Homes & Services,Long-Term Care Homes,Long-Term Care Homes,Salaries And Benefits,204379625
Long-Term Care Homes & Services,LTCHS - Community Based Programs,Adult Day Program,Materials & Supplies,10100
Long-Term Care Homes & Services,LTCHS - Community Based Programs,Adult Day Program,Other Expenditures,138600
Long-Term Care Homes & Services,LTCHS - Community Based Programs,Adult Day Program,Service And Rent,236665
Long-Term Care Homes & Services,LTCHS - Community Based Programs,Adult Day Program,Salaries And Benefits,1204535
Long-Term Care Homes & Services,LTCHS - Community Based Programs,Homemakers & Nurses Services,Materials & Supplies,3500
Long-Term Care Homes & Services,LTCHS - Community Based Programs,Homemakers & Nurses Services,Inter-Divisional Charges,11000
Long-Term Care Homes & Services,LTCHS - Community Based Programs,Homemakers & Nurses Services,Salaries And Benefits,1562806
Long-Term Care Homes & Services,LTCHS - Community Based Programs,Homemakers & Nurses Services,Service And Rent,4644294
Long-Term Care Homes & Services,LTCHS - Community Based Programs,Supportive Housing Services,Materials & Supplies,9100
Long-Term Care Homes & Services,LTCHS - Community Based Programs,Supportive Housing Services,Inter-Divisional Charges,14800
Long-Term Care Homes & Services,LTCHS - Community Based Programs,Supportive Housing Services,Equipment,21700
Long-Term Care Homes & Services,LTCHS - Community Based Programs,Supportive Housing Services,Other Expenditures,22900
Long-Term Care Homes & Services,LTCHS - Community Based Programs,Supportive Housing Services,Salaries And Benefits,1477676
Long-Term Care Homes & Services,LTCHS - Community Based Programs,Supportive Housing Services,Service And Rent,3741724
Mayor's Office,Mayor's Office,Mayor's Office,Materials & Supplies,4800
Mayor's Office,Mayor's Office,Mayor's Office,Inter-Divisional Charges,6974
Mayor's Office,Mayor's Office,Mayor's Office,Service And Rent,35141
Mayor's Office,Mayor's Office,Mayor's Office,Salaries And Benefits,2204106
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,Equipment,13400
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,Contribution To Reserves/Reserve Funds,82082
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,Service And Rent,176278
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,Inter-Divisional Charges,196127
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,Materials & Supplies,206457
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,Other Expenditures,313871
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,Salaries And Benefits,4035364
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,Equipment,6405
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,Contribution To Reserves/Reserve Funds,62830
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,Inter-Divisional Charges,72390
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,Service And Rent,173770
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,Materials & Supplies,180442
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,Other Expenditures,232736
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,Salaries And Benefits,1871396
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,Equipment,627
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,Materials & Supplies,3981
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,Service And Rent,18266
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,Contribution To Reserves/Reserve Funds,24326
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,Inter-Divisional Charges,41776
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,Other Expenditures,99510
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,Salaries And Benefits,406403
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,Equipment,10268
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,Inter-Divisional Charges,39784
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,Contribution To Reserves/Reserve Funds,43578
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,Other Expenditures,153883
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,Service And Rent,159054
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,Materials & Supplies,203920
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,Salaries And Benefits,1727354
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,Equipment,3568
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,Contribution To Reserves/Reserve Funds,12686
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,Materials & Supplies,18892
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,Service And Rent,42736
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,Other Expenditures,125820
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,Inter-Divisional Charges,701470
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,Salaries And Benefits,1390654
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,Equipment,661
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,Materials & Supplies,3178
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,Service And Rent,5948
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,Contribution To Reserves/Reserve Funds,12686
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,Other Expenditures,31536
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,Inter-Divisional Charges,157802
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,Salaries And Benefits,361269
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Licensing Tribunal,Equipment,230
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Licensing Tribunal,Service And Rent,1041
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Licensing Tribunal,Materials & Supplies,1228
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Licensing Tribunal,Other Expenditures,15624
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Licensing Tribunal,Inter-Divisional Charges,35911
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Licensing Tribunal,Salaries And Benefits,76160
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,Materials & Supplies,18773
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,Contribution To Reserves/Reserve Funds,25372
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,Equipment,123693
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,Other Expenditures,125820
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,Service And Rent,420034
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,Inter-Divisional Charges,541797
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,Salaries And Benefits,4197658
Municipal Licensing & Standards,MS-By-Law Enforcement,Animal By-Law Enforcement,Equipment,5060
Municipal Licensing & Standards,MS-By-Law Enforcement,Animal By-Law Enforcement,Contribution To Reserves/Reserve Funds,5074
Municipal Licensing & Standards,MS-By-Law Enforcement,Animal By-Law Enforcement,Materials & Supplies,7542
Municipal Licensing & Standards,MS-By-Law Enforcement,Animal By-Law Enforcement,Service And Rent,19725
Municipal Licensing & Standards,MS-By-Law Enforcement,Animal By-Law Enforcement,Inter-Divisional Charges,59588
Municipal Licensing & Standards,MS-By-Law Enforcement,Animal By-Law Enforcement,Salaries And Benefits,1229330
Municipal Licensing & Standards,MS-By-Law Enforcement,License & Permit Enforcement,Equipment,4625
Municipal Licensing & Standards,MS-By-Law Enforcement,License & Permit Enforcement,Materials & Supplies,26763
Municipal Licensing & Standards,MS-By-Law Enforcement,License & Permit Enforcement,Contribution To Reserves/Reserve Funds,88319
Municipal Licensing & Standards,MS-By-Law Enforcement,License & Permit Enforcement,Inter-Divisional Charges,93564
Municipal Licensing & Standards,MS-By-Law Enforcement,License & Permit Enforcement,Service And Rent,95141
Municipal Licensing & Standards,MS-By-Law Enforcement,License & Permit Enforcement,Salaries And Benefits,7945630
Municipal Licensing & Standards,MS-By-Law Enforcement,Parks By-Law Enforcement,Equipment,137
Municipal Licensing & Standards,MS-By-Law Enforcement,Parks By-Law Enforcement,Materials & Supplies,6231
Municipal Licensing & Standards,MS-By-Law Enforcement,Parks By-Law Enforcement,Contribution To Reserves/Reserve Funds,12686
Municipal Licensing & Standards,MS-By-Law Enforcement,Parks By-Law Enforcement,Service And Rent,22156
Municipal Licensing & Standards,MS-By-Law Enforcement,Parks By-Law Enforcement,Inter-Divisional Charges,42027
Municipal Licensing & Standards,MS-By-Law Enforcement,Parks By-Law Enforcement,Salaries And Benefits,1100183
Municipal Licensing & Standards,MS-By-Law Enforcement,Waste By-Law Enforcement,Equipment,23084
Municipal Licensing & Standards,MS-By-Law Enforcement,Waste By-Law Enforcement,Materials & Supplies,131233
Municipal Licensing & Standards,MS-By-Law Enforcement,Waste By-Law Enforcement,Service And Rent,158902
Municipal Licensing & Standards,MS-By-Law Enforcement,Waste By-Law Enforcement,Contribution To Reserves/Reserve Funds,303590
Municipal Licensing & Standards,MS-By-Law Enforcement,Waste By-Law Enforcement,Inter-Divisional Charges,553469
Municipal Licensing & Standards,MS-By-Law Enforcement,Waste By-Law Enforcement,Salaries And Benefits,5423292
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Exemptions & Permits,Equipment,4244
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Exemptions & Permits,Contribution To Reserves/Reserve Funds,7612
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Exemptions & Permits,Materials & Supplies,32743
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Exemptions & Permits,Service And Rent,73586
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Exemptions & Permits,Inter-Divisional Charges,91506
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Exemptions & Permits,Salaries And Benefits,2333694
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Property Maintenance,Equipment,7676
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Property Maintenance,Contribution To Reserves/Reserve Funds,38059
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Property Maintenance,Materials & Supplies,50583
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Property Maintenance,Service And Rent,123415
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Property Maintenance,Inter-Divisional Charges,223970
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Property Maintenance,Salaries And Benefits,4069024
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","Property Standards, Inspection & Enforcement",Contribution To Reserves/Reserve Funds,25372
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","Property Standards, Inspection & Enforcement",Equipment,32195
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","Property Standards, Inspection & Enforcement",Materials & Supplies,67927
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","Property Standards, Inspection & Enforcement",Service And Rent,191086
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","Property Standards, Inspection & Enforcement",Inter-Divisional Charges,235471
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","Property Standards, Inspection & Enforcement",Salaries And Benefits,6344024
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Zoning Investigation & Enforcement,Contribution To Reserves/Reserve Funds,5074
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Zoning Investigation & Enforcement,Equipment,6168
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Zoning Investigation & Enforcement,Materials & Supplies,34351
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Zoning Investigation & Enforcement,Service And Rent,80325
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Zoning Investigation & Enforcement,Inter-Divisional Charges,133912
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Zoning Investigation & Enforcement,Salaries And Benefits,2544060
Non-Program Expenditures,Corporate Accounts,Corporate Accounts,Materials & Supplies,180000
Non-Program Expenditures,Corporate Accounts,Corporate Accounts,Inter-Divisional Charges,23017892
Non-Program Expenditures,Corporate Accounts,Corporate Accounts,Contribution To Reserves/Reserve Funds,87625600
Non-Program Expenditures,Corporate Accounts,Corporate Accounts,Salaries And Benefits,97636900
Non-Program Expenditures,Corporate Accounts,Corporate Accounts,Other Expenditures,171569238
Non-Program Expenditures,Corporate Accounts,Corporate Accounts,Service And Rent,274000678
Non-Program Revenues,Corporate Accounts,Corporate Accounts,Other Expenditures,316802
Non-Program Revenues,Corporate Accounts,Corporate Accounts,Service And Rent,7532405
Non-Program Revenues,Corporate Accounts,Corporate Accounts,Inter-Divisional Charges,7698395
Non-Program Revenues,Corporate Accounts,Corporate Accounts,Contribution To Reserves/Reserve Funds,39999626
Non-Program Revenues,Special Levy for Scarborough Subway,Special Levy for Scarborough Subway,Contribution To Reserves/Reserve Funds,40698854
Non-Program Revenues,City Building Fund Levy,City Building Fund Levy,Contribution To Reserves/Reserve Funds,14046000
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Advisory & Negotiation,Equipment,507
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Advisory & Negotiation,Inter-Divisional Charges,1369
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Advisory & Negotiation,Materials & Supplies,2112
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Advisory & Negotiation,Service And Rent,11671
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Advisory & Negotiation,Salaries And Benefits,584411
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial & Business Analysis,Equipment,552
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial & Business Analysis,Inter-Divisional Charges,1654
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial & Business Analysis,Materials & Supplies,2475
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial & Business Analysis,Service And Rent,13305
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial & Business Analysis,Salaries And Benefits,671652
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial Policy Development,Equipment,573
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial Policy Development,Inter-Divisional Charges,2688
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial Policy Development,Materials & Supplies,3583
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial Policy Development,Service And Rent,18078
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial Policy Development,Salaries And Benefits,865601
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Debt Management,Other Expenditures,329
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Debt Management,Inter-Divisional Charges,537
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Debt Management,Equipment,1374
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Debt Management,Materials & Supplies,2800
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Debt Management,Service And Rent,295027
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Debt Management,Salaries And Benefits,400726
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Investment Management,Other Expenditures,168
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Investment Management,Equipment,700
