_META_START_,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OudFF0bGVRMVZ4dTA,,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuTF9vOFRVVHl3Z2M,,,
SOURCE_DOCUMENT_TITLE,Budget - Operating Budget Program Summary by Expenditure Category,,,
SOURCE_DOCUMENT_TABLE_LOCATION,Data Download,,,
SOURCE_DOCUMENT_TABLE_TITLE,Approved Operating Budget Summary 2017,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuX3ZrN3F5SDJJREk,,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,,
YEAR,2017,,,
VERSION,PBFT,,,
ASPECT,Expenses,,,
NOTES_CONTENT,,,,
NOTES_SEVERITY,,,,
UNITS_NAME,Dollar,,,
UNITS_CODE,DOLLAR,,,
UNITS_MULTIPLIER,1,,,
TOTAL_AMOUNT,,,,
INTAKE_DATETIME,,,,
INTAKE_OPERATOR_ID,Henrik,,,
COLUMNS_CATEGORIES,"Program:NAME, Service:NAME, Activity:NAME, Expense:NAME",,,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",,,
_META_END_,,,,
Children's Services,Child Care Delivery,Child Care Delivery,Equipment,662884
Children's Services,Child Care Delivery,Child Care Delivery,Other Expenditures,668853
Children's Services,Child Care Delivery,Child Care Delivery,Contribution To Reserves/Reserve Funds,952318
Children's Services,Child Care Delivery,Child Care Delivery,Materials & Supplies,2600421
Children's Services,Child Care Delivery,Child Care Delivery,Inter-Divisional Charges,4797521
Children's Services,Child Care Delivery,Child Care Delivery,Salaries And Benefits,80488038
Children's Services,Child Care Delivery,Child Care Delivery,Service And Rent,283001601
Children's Services,Child Care System Management,Child Care System Management,Other Expenditures,447
Children's Services,Child Care System Management,Child Care System Management,Materials & Supplies,45517
Children's Services,Child Care System Management,Child Care System Management,Equipment,64740
Children's Services,Child Care System Management,Child Care System Management,Contribution To Reserves/Reserve Funds,328430
Children's Services,Child Care System Management,Child Care System Management,Inter-Divisional Charges,356545
Children's Services,Child Care System Management,Child Care System Management,Salaries And Benefits,8263216
Children's Services,Child Care System Management,Child Care System Management,Service And Rent,101443825
City Clerk's Office,GV-Elect Government,Elections,Other Expenditures,300
City Clerk's Office,GV-Elect Government,Elections,Equipment,17830
City Clerk's Office,GV-Elect Government,Elections,Materials & Supplies,19009
City Clerk's Office,GV-Elect Government,Elections,Inter-Divisional Charges,326116
City Clerk's Office,GV-Elect Government,Elections,Service And Rent,525999
City Clerk's Office,GV-Elect Government,Elections,Salaries And Benefits,5052224
City Clerk's Office,GV-Make Government Work,Deliver Provincially Delegated Services,Equipment,1250
City Clerk's Office,GV-Make Government Work,Deliver Provincially Delegated Services,Inter-Divisional Charges,8500
City Clerk's Office,GV-Make Government Work,Deliver Provincially Delegated Services,Materials & Supplies,21818
City Clerk's Office,GV-Make Government Work,Deliver Provincially Delegated Services,Service And Rent,25081
City Clerk's Office,GV-Make Government Work,Deliver Provincially Delegated Services,Other Expenditures,31017
City Clerk's Office,GV-Make Government Work,Deliver Provincially Delegated Services,Salaries And Benefits,1975298
City Clerk's Office,GV-Make Government Work,Government & Official Services,Other Expenditures,1100
City Clerk's Office,GV-Make Government Work,Government & Official Services,Equipment,36166
City Clerk's Office,GV-Make Government Work,Government & Official Services,Inter-Divisional Charges,55165
City Clerk's Office,GV-Make Government Work,Government & Official Services,Materials & Supplies,84660
City Clerk's Office,GV-Make Government Work,Government & Official Services,Contribution To Reserves/Reserve Funds,187709
City Clerk's Office,GV-Make Government Work,Government & Official Services,Service And Rent,296913
City Clerk's Office,GV-Make Government Work,Government & Official Services,Salaries And Benefits,9104650
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,Equipment,8416
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,Materials & Supplies,23434
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,Service And Rent,511182
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,Inter-Divisional Charges,539182
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,Salaries And Benefits,7433676
City Clerk's Office,GV-Open Government,Corporate Information Production Services,Equipment,14026
City Clerk's Office,GV-Open Government,Corporate Information Production Services,Inter-Divisional Charges,88097
City Clerk's Office,GV-Open Government,Corporate Information Production Services,Contribution To Reserves/Reserve Funds,221224
City Clerk's Office,GV-Open Government,Corporate Information Production Services,Materials & Supplies,848834
City Clerk's Office,GV-Open Government,Corporate Information Production Services,Service And Rent,5774152
City Clerk's Office,GV-Open Government,Corporate Information Production Services,Salaries And Benefits,6047125
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,Other Expenditures,1575
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,Equipment,12730
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,Inter-Divisional Charges,14404
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,Contribution To Reserves/Reserve Funds,55700
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,Materials & Supplies,88696
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,Service And Rent,312757
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,Salaries And Benefits,10821684
City Council,City Council,City Council,Contribution To Reserves/Reserve Funds,99217
City Council,City Council,City Council,Equipment,102000
City Council,City Council,City Council,Inter-Divisional Charges,257695
City Council,City Council,City Council,Service And Rent,392849
City Council,City Council,City Council,Materials & Supplies,1302746
City Council,City Council,City Council,Salaries And Benefits,18472195
City Manager's Office,"Equity, Diversity & Human Rights","Equity, Diversity & Human Rights",Materials & Supplies,1977
City Manager's Office,"Equity, Diversity & Human Rights","Equity, Diversity & Human Rights",Equipment,3819
City Manager's Office,"Equity, Diversity & Human Rights","Equity, Diversity & Human Rights",Inter-Divisional Charges,6910
City Manager's Office,"Equity, Diversity & Human Rights","Equity, Diversity & Human Rights",Service And Rent,73730
City Manager's Office,"Equity, Diversity & Human Rights","Equity, Diversity & Human Rights",Salaries And Benefits,1718809
City Manager's Office,Executive Management,Executive Management,Equipment,9700
City Manager's Office,Executive Management,Executive Management,Materials & Supplies,10188
City Manager's Office,Executive Management,Executive Management,Inter-Divisional Charges,12800
City Manager's Office,Executive Management,Executive Management,Contribution To Reserves/Reserve Funds,19973
City Manager's Office,Executive Management,Executive Management,Service And Rent,558874
City Manager's Office,Executive Management,Executive Management,Salaries And Benefits,3106343
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,Equipment,4465
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,Materials & Supplies,25782
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,Contribution To Reserves/Reserve Funds,47701
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,Inter-Divisional Charges,103151
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,Service And Rent,598779
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,Salaries And Benefits,6422233
City Manager's Office,HR Employment Services,HR Employment Services,Contribution To Reserves/Reserve Funds,16664
City Manager's Office,HR Employment Services,HR Employment Services,Equipment,20121
City Manager's Office,HR Employment Services,HR Employment Services,Materials & Supplies,32587
City Manager's Office,HR Employment Services,HR Employment Services,Inter-Divisional Charges,34877
City Manager's Office,HR Employment Services,HR Employment Services,Service And Rent,389025
City Manager's Office,HR Employment Services,HR Employment Services,Salaries And Benefits,11880866
City Manager's Office,HR Organization & Employee Effectiveness,HR Organization & Employee Effectiveness,Equipment,13932
City Manager's Office,HR Organization & Employee Effectiveness,HR Organization & Employee Effectiveness,Contribution To Reserves/Reserve Funds,16664
City Manager's Office,HR Organization & Employee Effectiveness,HR Organization & Employee Effectiveness,Materials & Supplies,28061
City Manager's Office,HR Organization & Employee Effectiveness,HR Organization & Employee Effectiveness,Inter-Divisional Charges,78325
City Manager's Office,HR Organization & Employee Effectiveness,HR Organization & Employee Effectiveness,Service And Rent,1324449
City Manager's Office,HR Organization & Employee Effectiveness,HR Organization & Employee Effectiveness,Salaries And Benefits,6458735
City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,Contribution To Reserves/Reserve Funds,16664
City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,Equipment,26014
City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,Materials & Supplies,45941
City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,Inter-Divisional Charges,48488
City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,Service And Rent,581473
City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,Salaries And Benefits,10186425
City Manager's Office,Internal Auditing,Internal Auditing,Materials & Supplies,1650
City Manager's Office,Internal Auditing,Internal Auditing,Equipment,30819
City Manager's Office,Internal Auditing,Internal Auditing,Service And Rent,34450
City Manager's Office,Internal Auditing,Internal Auditing,Salaries And Benefits,1609299
City Manager's Office,Strategic & Corporate Policy,Strategic & Corporate Policy,Materials & Supplies,3125
City Manager's Office,Strategic & Corporate Policy,Strategic & Corporate Policy,Equipment,5400
City Manager's Office,Strategic & Corporate Policy,Strategic & Corporate Policy,Inter-Divisional Charges,7500
City Manager's Office,Strategic & Corporate Policy,Strategic & Corporate Policy,Service And Rent,39023
City Manager's Office,Strategic & Corporate Policy,Strategic & Corporate Policy,Salaries And Benefits,3926603
City Manager's Office,Strategic Communications,Strategic Communications,Materials & Supplies,11400
City Manager's Office,Strategic Communications,Strategic Communications,Equipment,21701
City Manager's Office,Strategic Communications,Strategic Communications,Inter-Divisional Charges,31450
City Manager's Office,Strategic Communications,Strategic Communications,Service And Rent,120449
City Manager's Office,Strategic Communications,Strategic Communications,Salaries And Benefits,5763525
City Planning,City Building & Policy Development,City Building & Policy Development,Contribution To Reserves/Reserve Funds,38099
City Planning,City Building & Policy Development,City Building & Policy Development,Materials & Supplies,52910
City Planning,City Building & Policy Development,City Building & Policy Development,Equipment,85998
City Planning,City Building & Policy Development,City Building & Policy Development,Inter-Divisional Charges,222220
City Planning,City Building & Policy Development,City Building & Policy Development,Service And Rent,767988
City Planning,City Building & Policy Development,City Building & Policy Development,Other Expenditures,2292000
City Planning,City Building & Policy Development,City Building & Policy Development,Salaries And Benefits,18935978
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",Contribution To Reserves/Reserve Funds,43124
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",Materials & Supplies,80234
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",Equipment,138631
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",Other Expenditures,153700
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",Service And Rent,740060
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",Inter-Divisional Charges,881440
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",Salaries And Benefits,23642554
Court Services,Court Case Management,Court Case Management,Equipment,30344
Court Services,Court Case Management,Court Case Management,Contribution To Reserves/Reserve Funds,70032
Court Services,Court Case Management,Court Case Management,Materials & Supplies,76715
Court Services,Court Case Management,Court Case Management,Other Expenditures,377601
Court Services,Court Case Management,Court Case Management,Service And Rent,7579850
Court Services,Court Case Management,Court Case Management,Salaries And Benefits,12088839
Court Services,Court Case Management,Court Case Management,Inter-Divisional Charges,15043992
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,Contribution To Reserves/Reserve Funds,4219
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,Other Expenditures,15338
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,Materials & Supplies,71743
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,Equipment,74179
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,Inter-Divisional Charges,945368
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,Service And Rent,2750411
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,Salaries And Benefits,6528018
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,Equipment,768
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,Contribution To Reserves/Reserve Funds,1688
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,Materials & Supplies,2100
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,Other Expenditures,6135
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,Service And Rent,145816
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,Salaries And Benefits,349875
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,Inter-Divisional Charges,362506
Court Services,Default Fine Collection Management,Default Fine Collection Management,Materials & Supplies,2422
Court Services,Default Fine Collection Management,Default Fine Collection Management,Equipment,3460
Court Services,Default Fine Collection Management,Default Fine Collection Management,Contribution To Reserves/Reserve Funds,8438
Court Services,Default Fine Collection Management,Default Fine Collection Management,Service And Rent,728931
Court Services,Default Fine Collection Management,Default Fine Collection Management,Other Expenditures,1414476
Court Services,Default Fine Collection Management,Default Fine Collection Management,Salaries And Benefits,1463249
Court Services,Default Fine Collection Management,Default Fine Collection Management,Inter-Divisional Charges,1812529
Economic Development & Culture,Arts Services,"Arts Activities Classes, Exhibits & Events",Inter-Divisional Charges,8263
Economic Development & Culture,Arts Services,"Arts Activities Classes, Exhibits & Events",Equipment,10701
Economic Development & Culture,Arts Services,"Arts Activities Classes, Exhibits & Events",Materials & Supplies,91678
Economic Development & Culture,Arts Services,"Arts Activities Classes, Exhibits & Events",Service And Rent,202230
Economic Development & Culture,Arts Services,"Arts Activities Classes, Exhibits & Events",Other Expenditures,387738
Economic Development & Culture,Arts Services,"Arts Activities Classes, Exhibits & Events",Salaries And Benefits,2106316
Economic Development & Culture,Arts Services,Arts Venues & Public Art,Inter-Divisional Charges,100
Economic Development & Culture,Arts Services,Arts Venues & Public Art,Materials & Supplies,33898
Economic Development & Culture,Arts Services,Arts Venues & Public Art,Other Expenditures,209540
Economic Development & Culture,Arts Services,Arts Venues & Public Art,Service And Rent,240281
Economic Development & Culture,Arts Services,Arts Venues & Public Art,Salaries And Benefits,989895
Economic Development & Culture,Arts Services,City-Produced Festivals & Events,Equipment,4935
Economic Development & Culture,Arts Services,City-Produced Festivals & Events,Other Expenditures,25919
Economic Development & Culture,Arts Services,City-Produced Festivals & Events,Contribution To Reserves/Reserve Funds,80505
Economic Development & Culture,Arts Services,City-Produced Festivals & Events,Inter-Divisional Charges,114636
Economic Development & Culture,Arts Services,City-Produced Festivals & Events,Materials & Supplies,211286
Economic Development & Culture,Arts Services,City-Produced Festivals & Events,Salaries And Benefits,4327935
Economic Development & Culture,Arts Services,City-Produced Festivals & Events,Service And Rent,6734679
Economic Development & Culture,Arts Services,Culture Grants,Salaries And Benefits,561511
Economic Development & Culture,Arts Services,Culture Grants,Other Expenditures,31430876
Economic Development & Culture,Business Services,BIA Support & Governance,Other Expenditures,6052
Economic Development & Culture,Business Services,BIA Support & Governance,Equipment,7500
Economic Development & Culture,Business Services,BIA Support & Governance,Materials & Supplies,8588
Economic Development & Culture,Business Services,BIA Support & Governance,Inter-Divisional Charges,12230
Economic Development & Culture,Business Services,BIA Support & Governance,Service And Rent,79873
Economic Development & Culture,Business Services,BIA Support & Governance,Salaries And Benefits,1742735
Economic Development & Culture,Business Services,Business & Industry Advice,Contribution To Reserves/Reserve Funds,4856
Economic Development & Culture,Business Services,Business & Industry Advice,Equipment,9596
Economic Development & Culture,Business Services,Business & Industry Advice,Materials & Supplies,23319
Economic Development & Culture,Business Services,Business & Industry Advice,Inter-Divisional Charges,61200
Economic Development & Culture,Business Services,Business & Industry Advice,Service And Rent,673553
Economic Development & Culture,Business Services,Business & Industry Advice,Other Expenditures,1222234
Economic Development & Culture,Business Services,Business & Industry Advice,Salaries And Benefits,1797493
Economic Development & Culture,Business Services,Business Incentives,Service And Rent,3500
Economic Development & Culture,Business Services,Business Incentives,Other Expenditures,1080621
Economic Development & Culture,Business Services,Business Incentives,Salaries And Benefits,1570358
Economic Development & Culture,Business Services,Business Training & Events,Equipment,1212
Economic Development & Culture,Business Services,Business Training & Events,Inter-Divisional Charges,4209
Economic Development & Culture,Business Services,Business Training & Events,Materials & Supplies,25140
Economic Development & Culture,Business Services,Business Training & Events,Other Expenditures,145611
Economic Development & Culture,Business Services,Business Training & Events,Service And Rent,315637
Economic Development & Culture,Business Services,Business Training & Events,Salaries And Benefits,1606203
Economic Development & Culture,Business Services,International Alliances,Materials & Supplies,3717
Economic Development & Culture,Business Services,International Alliances,Inter-Divisional Charges,154960
Economic Development & Culture,Business Services,International Alliances,Service And Rent,594556
Economic Development & Culture,Business Services,International Alliances,Other Expenditures,653797
Economic Development & Culture,Business Services,International Alliances,Salaries And Benefits,747362
Economic Development & Culture,Entertainment Industries Services,"Entertainment Ind. Training, Engagement & Other Initiatives",Equipment,1212
Economic Development & Culture,Entertainment Industries Services,"Entertainment Ind. Training, Engagement & Other Initiatives",Inter-Divisional Charges,12809
Economic Development & Culture,Entertainment Industries Services,"Entertainment Ind. Training, Engagement & Other Initiatives",Other Expenditures,25611
Economic Development & Culture,Entertainment Industries Services,"Entertainment Ind. Training, Engagement & Other Initiatives",Materials & Supplies,32994
Economic Development & Culture,Entertainment Industries Services,"Entertainment Ind. Training, Engagement & Other Initiatives",Service And Rent,300154
Economic Development & Culture,Entertainment Industries Services,"Entertainment Ind. Training, Engagement & Other Initiatives",Salaries And Benefits,658009
Economic Development & Culture,Entertainment Industries Services,Entertainment Industry Consultancy,Equipment,38
Economic Development & Culture,Entertainment Industries Services,Entertainment Industry Consultancy,Materials & Supplies,5842
Economic Development & Culture,Entertainment Industries Services,Entertainment Industry Consultancy,Inter-Divisional Charges,56495
Economic Development & Culture,Entertainment Industries Services,Entertainment Industry Consultancy,Service And Rent,422853
Economic Development & Culture,Entertainment Industries Services,Entertainment Industry Consultancy,Other Expenditures,906000
Economic Development & Culture,Entertainment Industries Services,Entertainment Industry Consultancy,Salaries And Benefits,1092789
Economic Development & Culture,Entertainment Industries Services,Film Permitting,Inter-Divisional Charges,400
Economic Development & Culture,Entertainment Industries Services,Film Permitting,Equipment,7000
Economic Development & Culture,Entertainment Industries Services,Film Permitting,Other Expenditures,46089
Economic Development & Culture,Entertainment Industries Services,Film Permitting,Materials & Supplies,60585
Economic Development & Culture,Entertainment Industries Services,Film Permitting,Service And Rent,120514
Economic Development & Culture,Entertainment Industries Services,Film Permitting,Salaries And Benefits,1288113
Economic Development & Culture,Entertainment Industries Services,Visitor Information Services,Materials & Supplies,4000
Economic Development & Culture,Entertainment Industries Services,Visitor Information Services,Service And Rent,75231
Economic Development & Culture,Entertainment Industries Services,Visitor Information Services,Inter-Divisional Charges,144143
Economic Development & Culture,Entertainment Industries Services,Visitor Information Services,Salaries And Benefits,1083994
